,Number,Company,Role,Location,Application Link,Date Posted,Shared
0,3, **[Uber](https://simplify.jobs/c/Uber)** , 2024 Software Engineering Uberstar Internship - Mexico , SF ," <a href=""https://university-uber.icims.com/jobs/128684/job?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/5071a748-2f19-4f2a-ba2a-c36c8bf086a0?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
1,4, **[SpecterOps](https://simplify.jobs/c/SpecterOps)** , Product Engineer Intern , Remote in USA ," <a href=""https://boards.greenhouse.io/specterops/jobs/7232079002?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/ad1716a0-0e03-4111-a16e-78e20c81a805?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
2,5, **[Rivian](https://simplify.jobs/c/Rivian)** , Construction Project Controls Analyst Intern ," Monroe, GA "," <a href=""https://careers.rivian.com/jobs/16608?lang=en-us&amp;icims=1&amp;utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/1867f144-f171-4083-8483-e9448fc4043c?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
3,6, **[Percipient.ai](https://simplify.jobs/c/Percipient-ai)** , Software Engineering Intern ," Santa Clara, CA "," <a href=""https://jobs.lever.co/percipient/66db963c-7392-4736-91fc-190c3bf6049b/apply?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/758b4532-e4d2-4ab2-b34a-9f09fdbd2e4d?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
4,7, **[Osmo](https://simplify.jobs/c/Osmo-AI)** , Psychophysics Analyst Intern , NYC ," <a href=""https://boards.greenhouse.io/osmo/jobs/4334319006?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/2aa5cb67-ea93-4d0c-a940-c94fa220cf58?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
5,8, **[Osmo](https://simplify.jobs/c/Osmo-AI)** , Software Engineering Intern ," Cambridge, MA "," <a href=""https://boards.greenhouse.io/osmo/jobs/4334108006?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/2b6b4dc5-e451-43ec-bc17-413c07de33ff?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
6,9, **[NVIDIA](https://simplify.jobs/c/NVIDIA)** , Systems Performance Intern - At Scale AI - Summer 2024 ," Santa Clara, CA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Systems-Performance-Intern--At-Scale-AI---Summer-2024_JR1979502?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/d996224a-07cc-481f-af51-950266d58438?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
7,10, **[Mysten Labs](https://simplify.jobs/c/Mysten-Labs)** , Data Science Intern , United States ," <a href=""https://jobs.ashbyhq.com/mystenlabs/0faba161-4e0a-4b30-8166-40fcecd6a56d/application?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/c2df24c1-d7dc-48c7-a1b4-a22fdb78f3b4?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
8,11, **[Minitab](https://simplify.jobs/c/Minitab)** , Marketing Analytics Intern ," Chicago, IL "," <a href=""https://boards.greenhouse.io/minitab/jobs/5892213003?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/d5ea66d6-fded-4bcc-bdec-aa0b30915377?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
9,12, **[Genesis Therapeutics](https://simplify.jobs/c/Genesis-Thera)** , New Product Planning Intern - AI/Llms/Lifesciences , Remote in USA ," <a href=""https://jobs.lever.co/genesistherapeutics/bf397627-ac7c-4eff-bc78-10383f29af15/apply?utm_source=Simplify&amp;ref=Simplify""><img alt=""Apply"" src=""https://i.imgur.com/w6lyvuC.png"" width=""84""/></a> <a href=""https://simplify.jobs/p/9d7e96a8-4310-4ebf-8eee-755130cc27dd?utm_source=GHList""><img alt=""Simplify"" src=""https://i.imgur.com/aVnQdox.png"" width=""30""/></a> ",02/14,True
